plan_type,STORE_NUM,sales,transactions
SAC,000035648,3437.12,2
SAC,000035642,1514.73,1
SAC,000035640,3578.9,2
SAC,000035637,2360.31,1
SAC,000035632,2125.72,1
SAC,000035623,1765.95,1
SAC,000035614,1614.17,1
SAC,000035602,2501,1
SAC,000035520,2268.91,1
SAC,000035516,2371.86,1
SAC,000035515,3889.23,2
SAC,000035511,1884.91,1
SAC,000035510,4518.59,2
SAC,000035505,1508.18,1
SAC,000035501,2000,1
SAC,000035356,4428.76,2
SAC,000035354,2496.12,1
SAC,000035353,2490.84,1
SAC,000035347,1848.21,1
SAC,000035346,2986.05,1
SAC,000035345,2310.12,1
SAC,000035338,1783.52,1
SAC,000035336,7202.51,3
SAC,000035333,3001,1
SAC,000035329,1869.19,1
SAC,000035324,3519.45,1
SAC,000035320,2000,1
SAC,000035318,2018.1,1
SAC,000035311,3708.39,1
SAC,000035306,4001.56,2
SAC,000035302,4567.19,2
SAC,000035299,6901,2
SAC,000035293,1982.66,1
SAC,000035290,3916.7,1
SAC,000035289,1836.03,1
SAC,000035283,4226.7,2
SAC,000035277,1545.05,1
SAC,000035272,2407.44,1
SAC,000035269,1530.81,1
SAC,000035267,5838.64,2
SAC,000035265,1876.24,1
SAC,000035261,2393.93,1
SAC,000035259,1630.55,1
SAC,000035244,2607.92,1
SAC,000035239,3373.27,2
SAC,000035234,7851.74,4
SAC,000035233,9126.12,4
SAC,000035225,2190.9,1
SAC,000035223,2553.76,1
SAC,000035220,2001,1
SAC,000035219,1561.31,1
SAC,000035218,9485.72,3
SAC,000035213,4000,1
SAC,000035211,4001,1
SAC,000035210,2380.41,1
SAC,000035209,2252.91,1
SAC,000035208,3501,1
SAC,000035207,3031.81,2
SAC,000035206,3501,1
SAC,000035205,2096.23,1
SAC,000035195,1530,1
SAC,000035191,5329.28,2
SAC,000035189,5402.56,3
SAC,000035187,2467.01,1
SAC,000035186,2133.45,1
SAC,000035184,6012.52,2
SAC,000035183,2446.91,1
SAC,000035180,2978.04,1
SAC,000035167,3501,1
SAC,000035164,4444.59,2
SAC,000035162,3574.32,1
SAC,000035160,6182.46,3
SAC,000035158,2027.9,1
SAC,000035155,11774.71,4
SAC,000035154,2660.42,1
SAC,000035151,2010.35,1
SAC,000035150,3101,1
SAC,000035149,2443.91,1
SAC,000035146,7851.83,3
SAC,000035141,4695.38,2
SAC,000035139,4578.9,1
SAC,000035136,3980.93,2
SAC,000035126,15983.31,5
SAC,000035123,2575.26,1
SAC,000035119,2076.53,1
SAC,000035116,3501,1
SAC,000035114,3444.41,1
SAC,000035112,7353.01,3
SAC,000035111,20643.54,8
SAC,000035110,5034.36,3
SAC,000035106,5133.16,2
SAC,000035104,3000.86,1
SAC,000035102,4869.14,2
SAC,000035099,4924.78,3
SAC,000035097,3352.59,1
SAC,000035089,3918.06,1
SAC,000035087,2521.93,1
SAC,000035082,8795.65,4
SAC,000035080,10399.12,4
SAC,000035079,3001,1
SAC,000035072,2105.92,1
SAC,000035065,3501,1
SAC,000035064,8994.72,3
SAC,000035056,1976.46,1
SAC,000035055,2001,1
SAC,000035053,1977.13,1
SAC,000035052,3501,1
SAC,000035050,1647.96,1
SAC,000035049,9805.29,4
SAC,000035047,2288.51,1
SAC,000035046,7081.62,3
SAC,000035037,2500,1
SAC,000035014,5000,2
SAC,000035012,10170.78,5
Revolve,000035352,4432.11,2
Revolve,000035289,2496.96,1
Revolve,000035256,2353.16,1
Revolve,000035254,4801,1
Revolve,000035213,2800,1
Revolve,000035212,4000,1
Revolve,000035161,2990.41,1
Revolve,000035155,1580.42,1
Revolve,000035139,2917.65,1
Revolve,000035112,2096.93,1
Revolve,000035012,2139.65,1
EP,000035637,3392.36,1
EP,000035632,2499.9,1
EP,000035623,4615.26,2
EP,000035618,1896.26,1
EP,000035614,2378.91,1
EP,000035609,7137.18,2
EP,000035600,1855,1
EP,000035507,1506.95,1
EP,000035500,1897.27,1
EP,000035353,2089.78,1
EP,000035349,3497.82,1
EP,000035345,3000,1
EP,000035343,3321.85,1
EP,000035337,3599.39,1
EP,000035324,1897.89,1
EP,000035320,1642.87,1
EP,000035306,1920,1
EP,000035302,4800,1
EP,000035297,2001,1
EP,000035293,5120.16,1
EP,000035292,2000,1
EP,000035291,2777.19,1
EP,000035290,5410.49,2
EP,000035289,5725,2
EP,000035283,3419.88,1
EP,000035277,7902.16,3
EP,000035276,7523.78,2
EP,000035269,7216.95,3
EP,000035267,7275.79,3
EP,000035263,6159.3,2
EP,000035261,5093.93,2
EP,000035257,16105.88,6
EP,000035245,1500,1
EP,000035244,2170.46,1
EP,000035236,7000,2
EP,000035235,2091.22,1
EP,000035233,1706.25,1
EP,000035231,2100,1
EP,000035230,4237.36,1
EP,000035226,2500,1
EP,000035225,2947.13,1
EP,000035223,1650.03,1
EP,000035222,2305.17,1
EP,000035218,14309.26,5
EP,000035214,6023.22,2
EP,000035212,3769.23,2
EP,000035210,3001,1
EP,000035207,12204.06,5
EP,000035204,1641.54,1
EP,000035203,4508.99,1
EP,000035197,6054.39,2
EP,000035195,1995.18,1
EP,000035191,10147.49,4
EP,000035190,5216.83,3
EP,000035189,4800,1
EP,000035187,2500,1
EP,000035184,2369.58,1
EP,000035183,2302,1
EP,000035179,22276.92,5
EP,000035178,6817.82,2
EP,000035170,11235.19,4
EP,000035168,1771.45,1
EP,000035167,4000,1
EP,000035165,3691.44,1
EP,000035162,5614.16,2
EP,000035161,4274.76,2
EP,000035159,10165.35,4
EP,000035155,4134.21,2
EP,000035153,4176,2
EP,000035151,5529.82,2
EP,000035150,3501,1
EP,000035139,2152.16,1
EP,000035136,6600.86,2
EP,000035135,2000,1
EP,000035127,9011.39,3
EP,000035126,9113.75,2
EP,000035123,3405,1
EP,000035119,3000,1
EP,000035118,3099.91,1
EP,000035117,2500,1
EP,000035114,6479.78,3
EP,000035113,12308.52,5
EP,000035112,8442.31,3
EP,000035111,8922.59,3
EP,000035110,5531.65,2
EP,000035108,1500,1
EP,000035106,2383.48,1
EP,000035105,2877.22,1
EP,000035104,1910.89,1
EP,000035102,5924.95,3
EP,000035098,3638.26,2
EP,000035090,3196.24,1
EP,000035089,5788.45,2
EP,000035088,2363.9,1
EP,000035086,3729.19,1
EP,000035085,2120.02,1
EP,000035079,3000,1
EP,000035072,2400,1
EP,000035065,5594.92,2
EP,000035059,2527.42,1
EP,000035056,2001,1
EP,000035054,1644.49,1
EP,000035053,2388.91,1
EP,000035051,3634.73,1
EP,000035050,7550.82,3
EP,000035047,8385.53,3
EP,000035043,3500,1
EP,000035038,5923.23,2
EP,000035037,2813,1
EP,000035034,5181.33,2
